City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
288,mejit,10.2753,170.8646,300.22,83,34,8.85,MH,1713216543
289,port augusta,-32.5,137.7667,288.46,70,0,4.43,AU,1713216384
290,whakatane,-37.9585,176.9854,291.21,77,8,1.3,NZ,1713216546
291,punta arenas,-53.15,-70.9167,287.21,67,0,2.06,CL,1713216446
292,colonia,50.9333,6.95,279.8,83,75,2.57,DE,1713216514
293,north bend,43.4065,-124.2243,289.81,62,100,7.72,US,1713216369
294,todos santos,23.45,-110.2167,304.99,69,99,3.91,MX,1713216552
295,changji,44.0167,87.3167,286.59,44,0,2.0,CN,1713216554
296,faya-largeau,17.9257,19.1043,304.04,9,51,5.57,TD,1713216555
297,pandan,14.0453,124.1694,298.65,79,37,3.03,PH,1713216556
298,turan,16.0678,108.2208,298.14,94,20,2.06,VN,1713216557
299,tortoli,39.9256,9.6572,294.05,49,63,6.17,IT,1713216559
300,jianshui,23.6363,102.8264,291.89,49,2,2.77,CN,1713216560
301,terrasson-lavilledieu,45.1301,1.3014,284.45,80,76,3.7,FR,1713216561
302,vangviang,18.9333,102.45,294.02,79,13,1.38,LA,1713216563
303,huarmey,-10.0681,-78.1522,297.17,75,9,6.22,PE,1713216328
304,mragowo,53.8644,21.3051,275.15,76,29,3.13,PL,1713216565
305,uribia,11.7139,-72.266,308.01,35,71,7.82,CO,1713216567
306,quellon,-43.1167,-73.6167,287.93,77,54,5.61,CL,1713216568
307,bridgewater,44.3835,-64.5155,290.99,58,77,4.02,CA,1713216569
308,neelankarai,12.9455,80.2575,301.18,83,40,2.57,IN,1713216570
309,laguna,38.421,-121.4238,293.32,57,0,3.6,US,1713216334
310,lae,-6.7221,146.9847,297.52,79,49,3.44,PG,1713216573
311,christchurch,-43.5333,172.6333,287.86,89,4,1.34,NZ,1713216559
312,shields,43.4153,-84.0564,295.4,30,0,7.72,US,1713216577
313,deniliquin,-35.5333,144.9667,284.71,71,0,2.3,AU,1713216578
